origen,destino,peso
Zona_39,Centro_A,7.9
Zona_42,Centro_A,9.3
Zona_3,Zona_42,3.3
Zona_44,Zona_39,0.5
Zona_30,Zona_39,9.2
Zona_13,Zona_3,2.7
Zona_37,Zona_30,12.6
Zona_17,Zona_37,20.3
Zona_43,Zona_3,20.4
Zona_14,Centro_A,8.8
Zona_23,Zona_3,0.9
Zona_6,Centro_A,22.3
Zona_25,Zona_14,24.0
Zona_45,Zona_39,3.7
Zona_12,Zona_25,13.8
Zona_28,Zona_37,6.2
Zona_7,Zona_12,19.9
Zona_2,Zona_44,12.9
Zona_34,Zona_2,13.5
Zona_16,Zona_37,10.0
Zona_5,Zona_25,18.9
Zona_22,Zona_3,7.3
Zona_32,Zona_23,6.5
Zona_40,Zona_45,13.2
Zona_15,Zona_39,2.0
Zona_27,Zona_16,19.7
Centro_E,Zona_6,9.5
Zona_29,Zona_15,9.2
Zona_1,Zona_37,13.4
Zona_41,Zona_7,8.8
Zona_21,Zona_25,6.8
Zona_31,Zona_1,9.7
Zona_33,Zona_44,6.3
Zona_11,Zona_13,16.1
Zona_20,Zona_11,4.5
Centro_B,Zona_30,0.6
Zona_26,Zona_12,14.9
Zona_18,Zona_21,4.8
Centro_D,Zona_15,5.2
Zona_10,Zona_14,0.5
Zona_35,Zona_40,5.8
Zona_9,Zona_1,9.0
Zona_24,Zona_20,7.8
Zona_8,Zona_21,16.4
Zona_4,Zona_2,10.3
Zona_19,Zona_3,8.9
Centro_C,Zona_11,3.0
Zona_38,Zona_16,11.9
Zona_36,Zona_26,9.3
Zona_29,Zona_6,29.6
Zona_28,Zona_1,7.6
Centro_E,Zona_34,21.5
Zona_11,Zona_21,19.7
Zona_32,Zona_11,6.0
Centro_C,Zona_35,20.2
Zona_38,Zona_33,4.6
Zona_16,Zona_12,22.7
Zona_41,Zona_16,19.1
Zona_21,Zona_4,5.3
Zona_15,Zona_25,14.9
Zona_44,Centro_E,29.3
Zona_35,Zona_32,6.2
Centro_E,Zona_30,6.2
Zona_12,Zona_4,5.1
Centro_E,Zona_11,14.8
Zona_6,Zona_24,7.3
Zona_41,Zona_15,10.6
Zona_37,Zona_29,35.7
Zona_31,Zona_15,7.8
Zona_12,Zona_3,4.7
Zona_43,Zona_31,15.4
Zona_14,Zona_34,4.3
Zona_17,Zona_9,3.0
Zona_12,Zona_28,5.9
Centro_D,Zona_1,10.8
Zona_13,Centro_C,15.0
Zona_45,Zona_4,10.9
Zona_12,Zona_6,4.7
Zona_31,Zona_41,5.7
Centro_A,Zona_3,16.5
Zona_40,Zona_5,10.9
Zona_19,Zona_33,8.5
Zona_23,Zona_4,15.2
Zona_19,Centro_C,8.1
Zona_9,Zona_39,22.7
Zona_2,Zona_18,0.8
Zona_22,Zona_35,8.3
Zona_11,Zona_6,0.5
Zona_7,Zona_22,28.4
Zona_43,Zona_17,2.2
Zona_22,Zona_38,7.9
Zona_6,Zona_40,28.9
Centro_C,Zona_26,6.1
Zona_25,Zona_18,3.5
Zona_10,Centro_B,9.2
Zona_21,Zona_17,3.5
Centro_E,Zona_45,21.3
Zona_21,Zona_39,7.0
Zona_30,Zona_17,0.9
Zona_7,Zona_33,4.0
