nodo,lat,lon
Centro_A,13.716731,-89.276999
Centro_B,13.673004,-89.253215
Centro_C,13.728377,-89.198796
Centro_D,13.747062,-89.269567
Centro_E,13.690631,-89.276424
Zona_1,13.666237,-89.219357
Zona_2,13.643184,-89.256139
Zona_3,13.717986,-89.214607
Zona_4,13.666453,-89.209288
Zona_5,13.737132,-89.27922
Zona_6,13.736698,-89.196223
Zona_7,13.68083,-89.261342
Zona_8,13.754866,-89.239609
Zona_9,13.65113,-89.268394
Zona_10,13.741699,-89.207553
Zona_11,13.736855,-89.192432
Zona_12,13.704347,-89.163226
Zona_13,13.685424,-89.213755
Zona_14,13.739529,-89.205778
Zona_15,13.743405,-89.210718
Zona_16,13.724549,-89.274501
Zona_17,13.667348,-89.245273
Zona_18,13.649575,-89.252065
Zona_19,13.65212,-89.246643
Zona_20,13.716282,-89.23622
Zona_21,13.684422,-89.254859
Zona_22,13.672037,-89.167601
Zona_23,13.717764,-89.206904
Zona_24,13.660537,-89.192505
Zona_25,13.659608,-89.234465
Zona_26,13.758743,-89.2032
Zona_27,13.706834,-89.197846
Zona_28,13.741142,-89.18688
Zona_29,13.667486,-89.276148
Zona_30,13.677854,-89.247871
Zona_31,13.665318,-89.166851
Zona_32,13.745164,-89.242239
Zona_33,13.718653,-89.232524
Zona_34,13.749746,-89.224938
Zona_35,13.671786,-89.250405
Zona_36,13.707364,-89.248471
Zona_37,13.71015,-89.172261
Zona_38,13.687928,-89.253682
Zona_39,13.759705,-89.218857
Zona_40,13.650909,-89.274346
Zona_41,13.653158,-89.204706
Zona_42,13.73505,-89.229341
Zona_43,13.647623,-89.234206
Zona_44,13.759535,-89.216506
Zona_45,13.756529,-89.176706
